"Reference","Value","Datasheet","Footprint","Qty","DNP"
"ANT1","CAB.6061","","","1",""
"ANT2","GW.20.5150","","","1",""
"C7,C10,C12","WCAP-FTXX_P10","","Footprints:WCAP-FTXX_P10L13W7H13","3",""
"C8","WCAP-PT5H_6.3X5.2","","Footprints:WCAP-PT5H_6.3X5.2_DXL_","1",""
"D7","YELLOW","","Footprints:WL-TMRC_3MM","1",""
"D8","BLUE","~","Footprints:WL-TMRW_3MM","1",""
"D9","RED","~","Footprints:WL-TMRW_3MM","1",""
"D10","GREEN","~","Footprints:WL-TMRC_3MM","1",""
"J1","USB_B_Micro","~","","1",""
"J5","Conn_02x05_Odd_Even","~","Footprints:61201021621","1",""
"J6","Conn_02x03_Odd_Even","~","Footprints:61200621621","1",""
"PS2","TSR_1-2433E","","Footprints:CONV_TSR_1-2433E","1",""
"Q1,Q2,Q3,Q4","BC337","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf","Package_TO_SOT_THT:TO-92_Inline","4",""
"R9","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R13,R14,R15,R16","220","~","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal","4",""
"S2","1543-650-149","","Footprints:1543650149","1",""
"U1","D3V3XA4B10LP","https://www.diodes.com/assets/Datasheets/D3V3XA4B10LP.pdf","Package_DFN_QFN:Diodes_UDFN-10_1.0x2.5mm_P0.5mm","1",""
"U6","ESP32-S3-WROOM-1U-N16R8","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","RF_Module:ESP32-S3-WROOM-1U","1",""
